ts,sellVol,buyVol,dt
1781377200000,4089044.9347,2703902.4228,2026-06-14 03:00:00+08:00
1781380800000,3690536.4272,5166396.8534,2026-06-14 04:00:00+08:00
1781384400000,2019573.8585,2345623.9943,2026-06-14 05:00:00+08:00
1781388000000,15089550.6108,19149354.8362,2026-06-14 06:00:00+08:00
1781391600000,7927386.0256,8464363.2884,2026-06-14 07:00:00+08:00
1781395200000,5515066.2459,4704523.7134,2026-06-14 08:00:00+08:00
1781398800000,4129239.1722,4952075.0795,2026-06-14 09:00:00+08:00
1781402400000,7894594.7391,6654368.8257,2026-06-14 10:00:00+08:00
1781406000000,5193956.9988,3974085.218,2026-06-14 11:00:00+08:00
1781409600000,4033865.2043,4780783.0369,2026-06-14 12:00:00+08:00
1781413200000,8267720.6332,7830912.4402,2026-06-14 13:00:00+08:00
1781416800000,14738829.8636,9667812.2009,2026-06-14 14:00:00+08:00
1781420400000,4258557.0382,6004829.2183,2026-06-14 15:00:00+08:00
1781424000000,3992803.2355,3265305.479,2026-06-14 16:00:00+08:00
1781427600000,2713540.8099,4413716.0078,2026-06-14 17:00:00+08:00
1781431200000,5415812.0815,5498321.4371,2026-06-14 18:00:00+08:00
1781434800000,5749920.6091,5748548.0265,2026-06-14 19:00:00+08:00
1781438400000,3438267.3213,4790502.5507,2026-06-14 20:00:00+08:00
1781442000000,9597286.6354,6337564.9782,2026-06-14 21:00:00+08:00
1781445600000,11611435.6364,9474043.8366,2026-06-14 22:00:00+08:00
1781449200000,17558496.3231,12435749.8848,2026-06-14 23:00:00+08:00
1781452800000,7590128.5586,8053903.7131,2026-06-15 00:00:00+08:00
1781456400000,8066901.5921,5669329.6498,2026-06-15 01:00:00+08:00
1781460000000,6286162.878,3469237.5876,2026-06-15 02:00:00+08:00
1781463600000,3743410.0858,4406242.159,2026-06-15 03:00:00+08:00
1781467200000,4371631.3788,4336314.0153,2026-06-15 04:00:00+08:00
1781470800000,5039017.853,5195909.4476,2026-06-15 05:00:00+08:00
1781474400000,35798339.0036,35848338.5129,2026-06-15 06:00:00+08:00
1781478000000,27391670.3047,25039760.1168,2026-06-15 07:00:00+08:00
1781481600000,19559114.7406,27792710.5771,2026-06-15 08:00:00+08:00
1781485200000,22443388.0181,27055906.5701,2026-06-15 09:00:00+08:00
1781488800000,12702353.3402,9383565.9707,2026-06-15 10:00:00+08:00
1781492400000,12340306.933,11154950.4599,2026-06-15 11:00:00+08:00
1781496000000,6354955.4094,7553804.9455,2026-06-15 12:00:00+08:00
1781499600000,7675916.3003,6253745.2406,2026-06-15 13:00:00+08:00
1781503200000,7294625.4898,7498615.9274,2026-06-15 14:00:00+08:00
1781506800000,8455521.6738,9686358.2104,2026-06-15 15:00:00+08:00
1781510400000,8538365.6401,7383578.0772,2026-06-15 16:00:00+08:00
1781514000000,10890393.619,11343716.2183,2026-06-15 17:00:00+08:00
1781517600000,11536103.3483,8496584.9323,2026-06-15 18:00:00+08:00
1781521200000,20553162.7364,28070058.0974,2026-06-15 19:00:00+08:00
1781524800000,32704891.0652,38842100.6326,2026-06-15 20:00:00+08:00
1781528400000,18737244.294,25427415.0524,2026-06-15 21:00:00+08:00
1781532000000,48007131.7248,50723234.1943,2026-06-15 22:00:00+08:00
1781535600000,17139639.6623,16606022.5777,2026-06-15 23:00:00+08:00
1781539200000,31536776.4658,38688009.4172,2026-06-16 00:00:00+08:00
1781542800000,39381225.3006,44417759.8492,2026-06-16 01:00:00+08:00
1781546400000,33058433.2469,23709648.1977,2026-06-16 02:00:00+08:00
1781550000000,11180046.4185,13326685.2374,2026-06-16 03:00:00+08:00
1781553600000,24550833.7679,19290112.4345,2026-06-16 04:00:00+08:00
1781557200000,11113897.5213,7045422.6647,2026-06-16 05:00:00+08:00
1781560800000,11458659.671,8846745.7964,2026-06-16 06:00:00+08:00
1781564400000,17455332.8633,12492578.7314,2026-06-16 07:00:00+08:00
1781568000000,7124543.209,9423303.5702,2026-06-16 08:00:00+08:00
1781571600000,8798246.1849,10496581.244,2026-06-16 09:00:00+08:00
1781575200000,6884017.1179,5839814.7191,2026-06-16 10:00:00+08:00
1781578800000,25766728.2919,17748056.9149,2026-06-16 11:00:00+08:00
1781582400000,13647506.9021,20224260.1376,2026-06-16 12:00:00+08:00
1781586000000,17760631.058,13102350.6401,2026-06-16 13:00:00+08:00
1781589600000,10714648.2654,9792339.7062,2026-06-16 14:00:00+08:00
1781593200000,9130973.9818,19045468.9222,2026-06-16 15:00:00+08:00
1781596800000,11152850.9669,15759143.9414,2026-06-16 16:00:00+08:00
1781600400000,21673761.9026,31964838.5899,2026-06-16 17:00:00+08:00
1781604000000,21969137.5264,14225147.1339,2026-06-16 18:00:00+08:00
1781607600000,10446346.6283,8212885.0607,2026-06-16 19:00:00+08:00
1781611200000,13570847.4027,14597820.4559,2026-06-16 20:00:00+08:00
1781614800000,27210706.0854,27948489.442,2026-06-16 21:00:00+08:00
1781618400000,33568963.9866,23090827.6651,2026-06-16 22:00:00+08:00
1781622000000,49884331.0118,44275656.4156,2026-06-16 23:00:00+08:00
1781625600000,20155559.6889,18394996.295,2026-06-17 00:00:00+08:00
1781629200000,17313504.9986,9005417.9831,2026-06-17 01:00:00+08:00
1781632800000,6794071.3439,11737852.5296,2026-06-17 02:00:00+08:00
1781636400000,16171329.0186,21804060.5094,2026-06-17 03:00:00+08:00
1781640000000,9481064.2674,7354299.9168,2026-06-17 04:00:00+08:00
1781643600000,4711880.2219,6004333.9636,2026-06-17 05:00:00+08:00
1781647200000,5351517.246,4802816.9296,2026-06-17 06:00:00+08:00
1781650800000,4720463.3722,5800072.96,2026-06-17 07:00:00+08:00
1781654400000,3744539.2624,4679908.4804,2026-06-17 08:00:00+08:00
1781658000000,8104293.8381,7632514.9154,2026-06-17 09:00:00+08:00
1781661600000,12007137.2744,11204242.1989,2026-06-17 10:00:00+08:00
1781665200000,10780883.254,13382625.6368,2026-06-17 11:00:00+08:00
1781668800000,5858956.3879,4722697.4948,2026-06-17 12:00:00+08:00
1781672400000,5905038.8313,6773808.028,2026-06-17 13:00:00+08:00
1781676000000,7023034.4358,5890466.2264,2026-06-17 14:00:00+08:00
1781679600000,12900589.458,10674406.0943,2026-06-17 15:00:00+08:00
1781683200000,16767439.303,13606405.3784,2026-06-17 16:00:00+08:00
1781686800000,38108515.9437,25787368.566,2026-06-17 17:00:00+08:00
1781690400000,7820324.6953,11808907.5954,2026-06-17 18:00:00+08:00
1781694000000,10363627.9499,5161429.9041,2026-06-17 19:00:00+08:00
1781697600000,16430005.271,17768145.8086,2026-06-17 20:00:00+08:00
1781701200000,20286028.0556,21391529.7836,2026-06-17 21:00:00+08:00
1781704800000,16238190.7293,23922730.6734,2026-06-17 22:00:00+08:00
1781708400000,20446514.4194,20760356.69,2026-06-17 23:00:00+08:00
1781712000000,24104960.4013,32454246.9902,2026-06-18 00:00:00+08:00
1781715600000,30060020.6253,20963008.9043,2026-06-18 01:00:00+08:00
1781719200000,12976287.414,13260659.5184,2026-06-18 02:00:00+08:00
1781722800000,66096615.2052,60049866.1718,2026-06-18 03:00:00+08:00
1781726400000,45167013.7161,43021302.4538,2026-06-18 04:00:00+08:00
1781730000000,12570893.494,17809863.7158,2026-06-18 05:00:00+08:00
1781733600000,8792615.1803,7210371.4236,2026-06-18 06:00:00+08:00
1781737200000,13330370.6014,12591246.3241,2026-06-18 07:00:00+08:00
1781740800000,4642999.1148,6084783.3768,2026-06-18 08:00:00+08:00
