ts,open,high,low,close,volume,dt
1780992000000,66.86,66.89,65.85,66.07,1502173.7,2026-06-09 16:00:00+08:00
1781006400000,66.07,66.48,64.22,64.29,3325163.06,2026-06-09 20:00:00+08:00
1781020800000,64.28,65.63,63.51,65.37,2564030.56,2026-06-10 00:00:00+08:00
1781035200000,65.38,65.68,64.64,64.92,767548.85,2026-06-10 04:00:00+08:00
1781049600000,64.93,65.26,64.2,64.49,885544.05,2026-06-10 08:00:00+08:00
1781064000000,64.48,64.74,63.78,64.45,996456.9,2026-06-10 12:00:00+08:00
1781078400000,64.46,64.49,62.89,63.46,1916349.14,2026-06-10 16:00:00+08:00
1781092800000,63.47,65.79,63.26,65.39,3218107.29,2026-06-10 20:00:00+08:00
1781107200000,65.4,65.44,63.31,63.51,1904543.29,2026-06-11 00:00:00+08:00
1781121600000,63.51,63.62,62.29,63.16,1592771.23,2026-06-11 04:00:00+08:00
1781136000000,63.15,65.46,63.15,65.23,1955978.75,2026-06-11 08:00:00+08:00
1781150400000,65.22,65.4,64.74,65.01,1033021.35,2026-06-11 12:00:00+08:00
1781164800000,65.0,66.18,64.99,65.85,1628189.55,2026-06-11 16:00:00+08:00
1781179200000,65.85,65.88,64.85,65.51,2440926.18,2026-06-11 20:00:00+08:00
1781193600000,65.51,67.35,65.0,66.89,2516397.81,2026-06-12 00:00:00+08:00
1781208000000,66.88,67.1,66.3,66.88,814499.43,2026-06-12 04:00:00+08:00
1781222400000,66.87,67.25,66.37,66.98,773186.44,2026-06-12 08:00:00+08:00
1781236800000,66.97,67.2,65.89,66.27,1076692.65,2026-06-12 12:00:00+08:00
1781251200000,66.27,67.45,66.26,66.89,1143123.48,2026-06-12 16:00:00+08:00
1781265600000,66.9,68.76,66.33,67.2,2870855.02,2026-06-12 20:00:00+08:00
1781280000000,67.21,68.17,66.63,66.73,1550642.55,2026-06-13 00:00:00+08:00
1781294400000,66.74,66.9,66.41,66.77,647624.46,2026-06-13 04:00:00+08:00
