ts,ratio,dt
1781582400000,2.1,2026-06-16 12:00:00+08:00
1781586000000,2.09,2026-06-16 13:00:00+08:00
1781589600000,2.11,2026-06-16 14:00:00+08:00
1781593200000,2.19,2026-06-16 15:00:00+08:00
1781596800000,2.2,2026-06-16 16:00:00+08:00
1781600400000,2.28,2026-06-16 17:00:00+08:00
1781604000000,2.18,2026-06-16 18:00:00+08:00
1781607600000,2.16,2026-06-16 19:00:00+08:00
1781611200000,2.11,2026-06-16 20:00:00+08:00
1781614800000,2.16,2026-06-16 21:00:00+08:00
1781618400000,2.09,2026-06-16 22:00:00+08:00
1781622000000,2.18,2026-06-16 23:00:00+08:00
1781625600000,2.22,2026-06-17 00:00:00+08:00
1781629200000,2.19,2026-06-17 01:00:00+08:00
1781632800000,2.24,2026-06-17 02:00:00+08:00
1781636400000,2.25,2026-06-17 03:00:00+08:00
1781640000000,2.23,2026-06-17 04:00:00+08:00
1781643600000,2.24,2026-06-17 05:00:00+08:00
1781647200000,2.24,2026-06-17 06:00:00+08:00
1781650800000,2.22,2026-06-17 07:00:00+08:00
1781654400000,2.2,2026-06-17 08:00:00+08:00
1781658000000,2.2,2026-06-17 09:00:00+08:00
1781661600000,2.21,2026-06-17 10:00:00+08:00
1781665200000,2.25,2026-06-17 11:00:00+08:00
1781668800000,2.24,2026-06-17 12:00:00+08:00
1781672400000,2.26,2026-06-17 13:00:00+08:00
1781676000000,2.26,2026-06-17 14:00:00+08:00
1781679600000,2.25,2026-06-17 15:00:00+08:00
1781683200000,2.23,2026-06-17 16:00:00+08:00
1781686800000,2.18,2026-06-17 17:00:00+08:00
1781690400000,2.24,2026-06-17 18:00:00+08:00
1781694000000,2.23,2026-06-17 19:00:00+08:00
1781697600000,2.18,2026-06-17 20:00:00+08:00
1781701200000,2.22,2026-06-17 21:00:00+08:00
1781704800000,2.29,2026-06-17 22:00:00+08:00
1781708400000,2.28,2026-06-17 23:00:00+08:00
1781712000000,2.32,2026-06-18 00:00:00+08:00
1781715600000,2.28,2026-06-18 01:00:00+08:00
1781719200000,2.27,2026-06-18 02:00:00+08:00
1781722800000,2.28,2026-06-18 03:00:00+08:00
1781726400000,2.29,2026-06-18 04:00:00+08:00
1781730000000,2.33,2026-06-18 05:00:00+08:00
1781733600000,2.33,2026-06-18 06:00:00+08:00
1781737200000,2.48,2026-06-18 07:00:00+08:00
1781740800000,2.47,2026-06-18 08:00:00+08:00
1781744400000,2.51,2026-06-18 09:00:00+08:00
1781748000000,2.48,2026-06-18 10:00:00+08:00
1781751600000,2.36,2026-06-18 11:00:00+08:00
1781755200000,2.32,2026-06-18 12:00:00+08:00
1781758800000,2.29,2026-06-18 13:00:00+08:00
1781762400000,2.38,2026-06-18 14:00:00+08:00
1781766000000,2.45,2026-06-18 15:00:00+08:00
1781769600000,2.47,2026-06-18 16:00:00+08:00
1781773200000,2.43,2026-06-18 17:00:00+08:00
1781776800000,2.37,2026-06-18 18:00:00+08:00
1781780400000,2.38,2026-06-18 19:00:00+08:00
1781784000000,2.42,2026-06-18 20:00:00+08:00
1781787600000,2.45,2026-06-18 21:00:00+08:00
1781791200000,2.44,2026-06-18 22:00:00+08:00
1781794800000,2.46,2026-06-18 23:00:00+08:00
1781798400000,2.53,2026-06-19 00:00:00+08:00
1781802000000,2.69,2026-06-19 01:00:00+08:00
1781805600000,2.69,2026-06-19 02:00:00+08:00
1781809200000,2.7,2026-06-19 03:00:00+08:00
1781812800000,2.74,2026-06-19 04:00:00+08:00
1781816400000,2.68,2026-06-19 05:00:00+08:00
1781820000000,2.65,2026-06-19 06:00:00+08:00
1781823600000,2.63,2026-06-19 07:00:00+08:00
1781827200000,2.64,2026-06-19 08:00:00+08:00
1781830800000,2.63,2026-06-19 09:00:00+08:00
1781834400000,2.61,2026-06-19 10:00:00+08:00
1781838000000,2.58,2026-06-19 11:00:00+08:00
1781841600000,2.56,2026-06-19 12:00:00+08:00
1781845200000,2.58,2026-06-19 13:00:00+08:00
1781848800000,2.59,2026-06-19 14:00:00+08:00
1781852400000,2.62,2026-06-19 15:00:00+08:00
1781856000000,2.61,2026-06-19 16:00:00+08:00
1781859600000,2.58,2026-06-19 17:00:00+08:00
1781863200000,2.57,2026-06-19 18:00:00+08:00
1781866800000,2.58,2026-06-19 19:00:00+08:00
1781870400000,2.6,2026-06-19 20:00:00+08:00
1781874000000,2.61,2026-06-19 21:00:00+08:00
1781877600000,2.7,2026-06-19 22:00:00+08:00
1781881200000,2.68,2026-06-19 23:00:00+08:00
1781884800000,2.67,2026-06-20 00:00:00+08:00
1781888400000,2.66,2026-06-20 01:00:00+08:00
1781892000000,2.64,2026-06-20 02:00:00+08:00
1781895600000,2.63,2026-06-20 03:00:00+08:00
1781899200000,2.63,2026-06-20 04:00:00+08:00
1781902800000,2.64,2026-06-20 05:00:00+08:00
1781906400000,2.65,2026-06-20 06:00:00+08:00
1781910000000,2.65,2026-06-20 07:00:00+08:00
1781913600000,2.66,2026-06-20 08:00:00+08:00
1781917200000,2.72,2026-06-20 09:00:00+08:00
1781920800000,2.7,2026-06-20 10:00:00+08:00
1781924400000,2.67,2026-06-20 11:00:00+08:00
1781928000000,2.65,2026-06-20 12:00:00+08:00
1781931600000,2.68,2026-06-20 13:00:00+08:00
1781935200000,2.61,2026-06-20 14:00:00+08:00
1781938800000,2.56,2026-06-20 15:00:00+08:00
1781942400000,2.52,2026-06-20 16:00:00+08:00
1781946000000,2.48,2026-06-20 17:00:00+08:00
1781949600000,2.53,2026-06-20 18:00:00+08:00
1781953200000,2.54,2026-06-20 19:00:00+08:00
1781956800000,2.5,2026-06-20 20:00:00+08:00
1781960400000,2.48,2026-06-20 21:00:00+08:00
1781964000000,2.48,2026-06-20 22:00:00+08:00
1781967600000,2.48,2026-06-20 23:00:00+08:00
1781971200000,2.36,2026-06-21 00:00:00+08:00
1781974800000,2.37,2026-06-21 01:00:00+08:00
1781978400000,2.36,2026-06-21 02:00:00+08:00
1781982000000,2.37,2026-06-21 03:00:00+08:00
1781985600000,2.37,2026-06-21 04:00:00+08:00
1781989200000,2.37,2026-06-21 05:00:00+08:00
1781992800000,2.36,2026-06-21 06:00:00+08:00
1781996400000,2.06,2026-06-21 07:00:00+08:00
1782000000000,2.02,2026-06-21 08:00:00+08:00
1782003600000,2.02,2026-06-21 09:00:00+08:00
1782007200000,2.02,2026-06-21 10:00:00+08:00
1782010800000,2.04,2026-06-21 11:00:00+08:00
1782014400000,2.02,2026-06-21 12:00:00+08:00
